#node HASGPU CARDTYPE Processors RAM(MB) Scratch(MB) CPUConsumptionRatio RAMConsumptionRatio DiskConsumptionRatio 
node35-0 NOGPU UNK UNK UNK UNK .8 .8 .8
node76-0 GPU 1070 16 62000 352000 .8 .8 .8
node76-1 GPU 1070 16 62000 352000 .8 .8 .8
node77-0 GPU 1070 16 62000 374000 .8 .8 .8
node77-1 GPU 1070 16 62000 374000 .8 .8 .8
node78-0 GPU 1070 16 62000 259000 .8 .8 .8
node78-1 GPU 1070 16 62000 259000 .8 .8 .8
node79-0 GPU 1070 16 62000 363000 .8 .8 .8
node79-1 GPU 1070 16 62000 363000 .8 .8 .8
node80-0 GPU 1070 16 31000 381000 .8 .8 .8
node80-1 GPU 1070 16 31000 381000 .8 .8 .8
node81-0 GPU 1070 16 31000 396000 .8 .8 .8
node81-1 GPU 1070 16 31000 396000 .8 .8 .8
node82-0 GPU 1070 16 31000 189000 .8 .8 .8
node82-1 GPU 1070 16 31000 189000 .8 .8 .8
node83-0 GPU 1070 16 62000 810000 .8 .8 .8
node83-1 GPU 1070 16 62000 810000 .8 .8 .8
node84-0 GPU 1070 16 31000 396000 .8 .8 .8
node84-1 GPU 1070 16 31000 396000 .8 .8 .8
node85-0 GPU 1070 16 62000 279000 .8 .8 .8
node85-1 GPU 1070 16 62000 279000 .8 .8 .8
node86-0 GPU 1070 16 31000 392000 .8 .8 .8
node86-1 GPU 1070 16 31000 392000 .8 .8 .8
node87-0 GPU 1070 16 31000 730000 .8 .8 .8
node87-1 GPU 1070 16 31000 730000 .8 .8 .8
node88-0 GPU 1070 16 31000 370000 .8 .8 .8
node88-1 GPU 1070 16 31000 370000 .8 .8 .8
node89-0 GPU 1070 16 31000 389000 .8 .8 .8
node89-1 GPU 1070 16 31000 389000 .8 .8 .8
node90-0 GPU 1070 16 31000 288000 .8 .8 .8
node90-1 GPU 1070 16 31000 288000 .8 .8 .8
node91-0 GPU 1070 16 31000 393000 .8 .8 .8
node91-1 GPU 1070 16 31000 393000 .8 .8 .8
node92-0 GPU 1070 16 31000 396000 .8 .8 .8
node92-1 GPU 1070 16 31000 396000 .8 .8 .8
node93-0 GPU 1070 16 31000 320000 .8 .8 .8
node93-1 GPU 1070 16 31000 320000 .8 .8 .8
node94-0 GPU 2070 16 31000 UNK .8 .8 .8
node94-1 GPU 2070 16 31000 UNK .8 .8 .8
node95-0 GPU 1070 16 31000 379000 .8 .8 .8
node95-1 GPU 1070 16 31000 379000 .8 .8 .8
node96-0 GPU 1070 16 31000 311000 .8 .8 .8
node96-1 GPU 1070 16 31000 311000 .8 .8 .8
node97-0 GPU 1070 16 31000 UNK .8 .8 .8
node97-1 GPU 1070 16 31000 UNK .8 .8 .8
node98-0 GPU 1070 16 62000 765000 .8 .8 .8
node98-1 GPU 1070 16 62000 765000 .8 .8 .8
node99-0 GPU 1070 16 31000 396000 .8 .8 .8
node99-1 GPU 1070 16 31000 396000 .8 .8 .8
node100-0 GPU 1070 16 31000 384000 .8 .8 .8
node100-1 GPU 1070 16 31000 384000 .8 .8 .8
node101-0 GPU 1070 16 31000 359000 .8 .8 .8
node101-1 GPU 1070 16 31000 359000 .8 .8 .8
node142-0 NOGPU UNK 32 251000 573000 .8 .8 .8
node144-0 NOGPU UNK 32 503000 3100000 .8 .8 .8
node193-0 GPU 2070 8 15000 859000 .8 .8 .8
node193-1 GPU 2070 8 15000 859000 .8 .8 .8
node194-0 GPU 2080 8 15000 866000 .8 .8 .8
node194-1 GPU 2080 8 15000 866000 .8 .8 .8
node195-0 GPU 2080 8 15000 842000 .8 .8 .8
node195-1 GPU 2080 8 15000 842000 .8 .8 .8
node201-0 NOGPU UNK UNK UNK UNK .8 .8 .8
node204-0 GPU 1070 4 7000 866000 .8 .8 .8
node204-1 GPU 1070 4 7000 866000 .8 .8 .8
node210-0 GPU 1070 12 15000 866000 .8 .8 .8
node210-1 GPU 1070 12 15000 866000 .8 .8 .8
node210-2 GPU 1070 12 15000 866000 .8 .8 .8
node211-0 GPU 2070 12 15000 866000 .8 .8 .8
node211-1 GPU 2070 12 15000 866000 .8 .8 .8
node211-2 GPU 2070 12 15000 866000 .8 .8 .8
node212-0 GPU 2080 8 31000 780000 .8 .8 .8
node212-1 GPU 2080 8 31000 780000 .8 .8 .8
node212-2 GPU 2080 8 31000 780000 .8 .8 .8
node215-0 GPU 2080 32 125000 529000 .8 .8 .8
node215-1 GPU 2080 32 125000 529000 .8 .8 .8
node215-2 GPU 2080 32 125000 529000 .8 .8 .8
node215-3 GPU 2080 32 125000 529000 .8 .8 .8
#node206-0 GPU GV100 8 62000 843000 .8 .8 .8
#node206-1 GPU GV100 8 62000 843000 .8 .8 .8
bme-black-0 NOGPU UNK UNK UNK UNK .8 .8 .8
#bme-dna-0 GPU 970 32 62000 3600000 .8 .8 .8
bme-earth-0 NOGPU UNK UNK UNK UNK .8 .8 .8
bme-jupiter-0 GPU 2070 8 15000 866000 .8 .8 .8
bme-jupiter-1 GPU 2070 8 15000 866000 .8 .8 .8
bme-mercury-0 GPU 3070 8 15000 856000 .8 .8 .8
bme-mercury-1 GPU 3070 8 15000 856000 .8 .8 .8
bme-neptune-0 GPU 1070 4 15000 866000 .8 .8 .8
bme-neptune-1 GPU 1070 4 15000 866000 .8 .8 .8
bme-neptune-2 GPU 1070 4 15000 866000 .8 .8 .8
#bme-pluto-0 GPU 780 16 23000 3600000 .8 .8 .8
bme-rna-0 GPU 3080 20 31000 825000 .8 .8 .8
bme-rna-1 GPU 3080 20 31000 825000 .8 .8 .8
#bme-sugar-0 GPU 970 8 11000 869000 .8 .8 .8
bme-saturn-0 GPU 1070 8 15000 348000 .8 .8 .8
bme-saturn-1 GPU 1070 8 15000 348000 .8 .8 .8
